Date,AAPL,MSFT
2023-01-04,0.010235727567974084,-0.04382182423464975
2023-01-05,-0.010683247340737223,-0.029716385172448345
2023-01-06,0.03671542003662487,0.011706715276686763
2023-01-09,0.00401022931488515,0.009657835980774632
2023-01-10,0.0043778831357517145,0.007538540477760813
2023-01-11,0.02103375864982615,0.03015958877532854
2023-01-12,-0.0006779259079900957,0.011542866592957113
2023-01-13,0.01004062690398766,0.0029402123480992692
2023-01-17,0.008677614660658639,0.004603110139496547
2023-01-18,-0.0054484848925545615,-0.01896776792879551
2023-01-19,0.00036511764332236574,-0.016532485244597606
2023-01-20,0.019142265426861593,0.03566499515103261
2023-01-23,0.023421750667535823,0.00974575722449722
2023-01-24,0.00998462081243967,-0.0023046799432329124
2023-01-25,-0.004779501945490927,-0.005986677138715146
2023-01-26,0.014724859638806542,0.03063503066842821
2023-01-27,0.01360572463463705,0.0005665951323272633
2023-01-30,-0.020156734364663698,-0.02204024639657609
