ticker,annual_return,idiosyncratic_volatility,civ_beta
MMM,-0.044963063982794364,0.006336150630186153,-0.22358329283473172
AOS,0.11635848788811856,0.006672927444875569,0.09781886523160094
ABT,0.2705121336919128,0.005794725945559999,0.017231554070419562
ABBV,0.04834119240794386,0.007031340464349809,0.151120063475464
ACN,0.5166531572322388,0.005340082861487627,-0.03719835446732391
ADM,0.17159817398938843,0.0066174379161284495,0.12250034122410808
ADBE,0.4686288765286307,0.005610474766453479,-0.13632318151197237
ADP,0.33707022930699676,0.005412669895135559,-0.05481023137316892
AES,0.44966613159433394,0.0072197873365705606,0.047339978668535156
AFL,0.18655061797172653,0.006323979628825114,0.005539183423762912
